Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source,License URL
SP.DYN.SMAM.FE,CC BY-4.0,"Mean age at first marriage, female",,"Mean age at marriage, female shows the average length of single life expressed in years among those females who marry before age 50. It is a synthetic indicator calculated from marital status categories of men and women aged 15 to 54 at the census or survey date.","United Nations, Department of Economic and Social Affairs, Population Division. World Marriage Data 2019.",Health: Population: Dynamics,,Annual,,,,"The estimates by age may be affected by age misreporting. Marital status may be misreported, particularly in societies where divorce or separation is not socially acceptable. The differences in marital status categories included over time and their definitions limit comparability of data across time and countries. Data derived from surveys with small samples are subject to sampling error.",,Note that the SMAM takes a single point in time and calculates the age at marriage from the marital status of the population aged between 15 and 50. This value is different from the mean age of marriage that is calculated from first marriage rates in a respective period (commonly used in countries with complete marriage registration systems) or cohort measures of entry into first marriage or union (based on retrospective survey questions on age at first marriage or union formation). The retrospective nature of the SMAM means that values are influenced by age and marital status specific mortality and migration.,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.DYN.SMAM.MA,CC BY-4.0,"Mean age at first marriage, male",,"Mean age at marriage, male shows the average length of single life expressed in years among those males who marry before age 50. It is a synthetic indicator calculated from marital status categories of men and women aged 15 to 54 at the census or survey date.","United Nations, Department of Economic and Social Affairs, Population Division. World Marriage Data.",Health: Population: Dynamics,,Annual,,,,"The estimates by age may be affected by age misreporting. Marital status may be misreported, particularly in societies where divorce or separation is not socially acceptable. The differences in marital status categories included over time and their definitions limit comparability of data across time and countries. Data derived from surveys with small samples are subject to sampling error.",,Note that the SMAM takes a single point in time and calculates the age at marriage from the marital status of the population aged between 15 and 50. This value is different from the mean age of marriage that is calculated from first marriage rates in a respective period (commonly used in countries with complete marriage registration systems) or cohort measures of entry into first marriage or union (based on retrospective survey questions on age at first marriage or union formation). The retrospective nature of the SMAM means that values are influenced by age and marital status specific mortality and migration.,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.HIV.ARTC.FE.ZS,CC BY-4.0,Antiretroviral therapy coverage (% of adult females living with HIV),,The percentage of adult females living with HIV who are receiving antiretroviral therapy.,UNAIDS estimates.,Health: Risk factors,,Annual,Weighted average,"Data on HIV are from the Joint United Nations Programme on HIV/AIDS (UNAIDS). Changes in procedures and assumptions for estimating the data and better coordination with countries have resulted in improved estimates of HIV and AIDS. For example, improved software was used to model the course of HIV epidemics and their impacts, making full use of information on HIV prevalence trends from surveillance data as well as survey data. The software explicitly includes the effect of antiretroviral therapy when calculating HIV incidence and models reduced infectivity among people receiving antiretroviral therapy, which is having a larger impact on HIV prevalence and allowing HIV-positive people to live longer. The software also allows for changes in urbanization over time - important because prevalence is higher in urban areas and because many countries have seen rapid urbanization over the past two decades.

Antiretroviral therapy has led to huge reductions in death and suffering of people with advanced HIV infection. Standard antiretroviral therapy consists of the use of at least three antiretroviral drugs to maximally suppress HIV and stop the progression of HIV disease. Data are collected through three international monitoring and reporting processes: country responses to the WHO; research by the Interagency Task Team on Prevention of HIV Infection in Women, Mothers and their Children; and country report to UNAIDS through the United Nations General Assembly Special Session Declaration of Commitment on HIV/AIDS.",,The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information.,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.HIV.ARTC.MA.ZS,CC BY-4.0,Antiretroviral therapy coverage (% of adult males living with HIV),,The percentage of adult males living with HIV who are receiving antiretroviral therapy.,UNAIDS estimates.,Health: Risk factors,,Annual,Weighted average,"Data on HIV are from the Joint United Nations Programme on HIV/AIDS (UNAIDS). Changes in procedures and assumptions for estimating the data and better coordination with countries have resulted in improved estimates of HIV and AIDS. For example, improved software was used to model the course of HIV epidemics and their impacts, making full use of information on HIV prevalence trends from surveillance data as well as survey data. The software explicitly includes the effect of antiretroviral therapy when calculating HIV incidence and models reduced infectivity among people receiving antiretroviral therapy, which is having a larger impact on HIV prevalence and allowing HIV-positive people to live longer. The software also allows for changes in urbanization over time - important because prevalence is higher in urban areas and because many countries have seen rapid urbanization over the past two decades.

Antiretroviral therapy has led to huge reductions in death and suffering of people with advanced HIV infection. Standard antiretroviral therapy consists of the use of at least three antiretroviral drugs to maximally suppress HIV and stop the progression of HIV disease. Data are collected through three international monitoring and reporting processes: country responses to the WHO; research by the Interagency Task Team on Prevention of HIV Infection in Women, Mothers and their Children; and country report to UNAIDS through the United Nations General Assembly Special Session Declaration of Commitment on HIV/AIDS.",,The limited availability of data on health status is a major constraint in assessing the health situation in developing countries. Surveillance data are lacking for many major public health concerns. Estimates of prevalence and incidence are available for some diseases but are often unreliable and incomplete. National health authorities differ widely in capacity and willingness to collect or report information.,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.DYN.CBRT.IN,CC BY-4.0,"Birth rate, crude (per 1,000 people)","Crude birth rate indicates the number of live births per 1,000 midyear population.","Crude birth rate indicates the number of live births occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",Health: Population: Dynamics,,Annual,Weighted average,"Vital rates are based on data from birth and death registration systems, censuses, and sample surveys by national statistical offices and other organizations, or on demographic analysis. Data for the most recent year for some high-income countries are provisional estimates based on vital registers. The estimates for many countries are projections based on extrapolations of levels and trends from earlier years or interpolations of population estimates and projections from the United Nations Population Division.",,"Vital registers are the preferred source for these data, but in many developing countries systems for registering births and deaths are absent or incomplete because of deficiencies in the coverage of events or geographic areas. Many developing countries carry out special household surveys that ask respondents about recent births and deaths. Estimates derived in this way are subject to sampling errors and recall errors.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.REG.BRTH.FE.ZS,CC BY-4.0,"Completeness of birth registration, female (%)",,Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.,UNICEF's State of the World's Children based mostly on household surveys and ministry of health data.,Health: Population: Dynamics,,Annual,,"Health systems - the combined arrangements of institutions and actions whose primary purpose is to promote, restore, or maintain health (World Health Organization, World Health Report 2000) - are increasingly being recognized as key to combating disease and improving the health status of populations. The World Bank's Healthy Development: Strategy for Health, Nutrition, and Population Results emphasizes the need to strengthen health systems, which are weak in many countries, in order to increase the effectiveness of programs aimed at reducing specific diseases and further reduce morbidity and mortality. To evaluate health systems, the World Health Organization (WHO) has recommended that key components - such as financing, service delivery, workforce, governance, and information - be monitored using several key indicators. The data are a subset of the key indicators. Monitoring health systems allows the effectiveness, efficiency, and equity of different health system models to be compared. Health system data also help identify weaknesses and strengths and areas that need investment, such as additional health facilities, better health information systems, or better trained human resources.

Numerous indicators have been proposed to assess a country's health information system.They can be grouped into two broad types: indicators related to data generation using core sources and methods (health surveys, civil registration, censuses, facility reporting, health system resource tracking) and indicators related to capacity for data synthesis, analysis, and validation. Indicators related to data generation reflect a country's capacity to collect relevant data at suitable intervals using the most appropriate data sources. Benchmarks include periodicity, timeliness, contents, and availability. Indicators related to capacity for synthesis, analysis, and validation measure the dimensions of the institutional frameworks needed to ensure data quality, including independence, transparency, and access. Benchmarks include the availability of independent coordination mechanisms and micro- and meta-data. Indicators related to data generation include completeness of birth registration.

Birth registration refers to the permanent and official recording of a child's existence by some administrative levels of the State that is normally coordinated by a particular branch of the government.

Completeness of birth registration indicator is related to the group of indictors of data generation.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.REG.BRTH.MA.ZS,CC BY-4.0,"Completeness of birth registration, male (%)",,Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.,UNICEF's State of the World's Children based mostly on household surveys and ministry of health data.,Health: Population: Dynamics,,Annual,,"Health systems - the combined arrangements of institutions and actions whose primary purpose is to promote, restore, or maintain health (World Health Organization, World Health Report 2000) - are increasingly being recognized as key to combating disease and improving the health status of populations. The World Bank's Healthy Development: Strategy for Health, Nutrition, and Population Results emphasizes the need to strengthen health systems, which are weak in many countries, in order to increase the effectiveness of programs aimed at reducing specific diseases and further reduce morbidity and mortality. To evaluate health systems, the World Health Organization (WHO) has recommended that key components - such as financing, service delivery, workforce, governance, and information - be monitored using several key indicators. The data are a subset of the key indicators. Monitoring health systems allows the effectiveness, efficiency, and equity of different health system models to be compared. Health system data also help identify weaknesses and strengths and areas that need investment, such as additional health facilities, better health information systems, or better trained human resources.

Numerous indicators have been proposed to assess a country's health information system.They can be grouped into two broad types: indicators related to data generation using core sources and methods (health surveys, civil registration, censuses, facility reporting, health system resource tracking) and indicators related to capacity for data synthesis, analysis, and validation. Indicators related to data generation reflect a country's capacity to collect relevant data at suitable intervals using the most appropriate data sources. Benchmarks include periodicity, timeliness, contents, and availability. Indicators related to capacity for synthesis, analysis, and validation measure the dimensions of the institutional frameworks needed to ensure data quality, including independence, transparency, and access. Benchmarks include the availability of independent coordination mechanisms and micro- and meta-data. Indicators related to data generation include completeness of birth registration.

Birth registration refers to the permanent and official recording of a child's existence by some administrative levels of the State that is normally coordinated by a particular branch of the government.

Completeness of birth registration indicator is related to the group of indictors of data generation.",,,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.DYN.CDRT.IN,CC BY-4.0,"Death rate, crude (per 1,000 people)","Crude death rate indicates the number of deaths per 1,000 midyear population.","Crude death rate indicates the number of deaths occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.","(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",Health: Population: Dynamics,,Annual,Weighted average,"The crude death rate is calculated as the number of deaths in a given period divided by the population exposed to risk of death in that period. For human populations the period is usually one year and, if the population changes in size over the year, the divisor is taken as the population at the mid-year. The rate is usually expressed in terms of 1,000 people: for example, a crude death rate of 9.5 (per 1000 people) in a population of 1 million would imply 9500 deaths per year in the entire population. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.

Vital rates are based on data from birth and death registration systems, censuses, and sample surveys by national statistical offices and other organizations, or on demographic analysis. Data for the most recent year for some high-income countries are provisional estimates based on vital registers. The estimates for many countries are projections based on extrapolations of levels and trends from earlier years or interpolations of population estimates and projections from the United Nations Population Division.","The crude mortality rate is a good indicator of the general health status of a geographic area or population. The crude death rate is not appropriate for comparison of different populations or areas with large differences in age-distributions. Higher crude death rates can be found in some developed countries, despite high life expectancy, because typically these countries have a much higher proportion of older people, due to lower recent birth rates and lower age-specific mortality rates.","Vital registers are the preferred source for these data, but in many developing countries systems for registering births and deaths are absent or incomplete because of deficiencies in the coverage of events or geographic areas. Many developing countries carry out special household surveys that ask respondents about recent births and deaths. Estimates derived in this way are subject to sampling errors and recall errors.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.DYN.TFRT.IN,CC BY-4.0,"Fertility rate, total (births per woman)",,Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with age-specific fertility rates of the specified year.,"(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",Health: Reproductive health,,Annual,Weighted average,"Total fertility rates are based on data on registered live births from vital registration systems or, in the absence of such systems, from censuses or sample surveys. The estimated rates are generally considered reliable measures of fertility in the recent past. Where no empirical information on age-specific fertility rates is available, a model is used to estimate the share of births to adolescents. For countries without vital registration systems fertility rates are generally based on extrapolations from trends observed in censuses or surveys from earlier years.","Reproductive health is a state of physical and mental well-being in relation to the reproductive system and its functions and processes. Means of achieving reproductive health include education and services during pregnancy and childbirth, safe and effective contraception, and prevention and treatment of sexually transmitted diseases. Complications of pregnancy and childbirth are the leading cause of death and disability among women of reproductive age in developing countries.",Annual data series from United Nations Population Division's World Population Prospects are interpolated data from 5-year period data. Therefore they may not reflect real events as much as observed data.,Relevance to gender indicator: it can indicate the status of women within households and a woman’s decision about the number and spacing of children.,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.CMPL.FE.ZS,CC BY-4.0,"Primary completion rate, female, based on completers",,Primary completion rate is the percentage of students completing the last year of primary school. The rate based on completers is calculated by taking the total number of completers in the last grade of primary school divided by the total number of children of official graduation age.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,,,"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2020 (July 1, 2019-June 30, 2020)",,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.CMPL.MA.ZS,CC BY-4.0,"Primary completion rate, male, based on completers",,Primary completion rate is the percentage of students completing the last year of primary school. The rate based on completers is calculated by taking the total number of completers in the last grade of primary school divided by the total number of children of official graduation age.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,,Annual,,,,,"For aggregate data, each economy is classified based on the classification of World Bank Group's fiscal year 2020 (July 1, 2019-June 30, 2020)",,https://datacatalog.worldbank.org/public-licenses#cc-by
SH.PAR.LEVE.MA,CC BY-4.0,Length of paid parental leave for father (days),,The indicator represents the duration of paid parental leave for the father.,"World Bank: Women, Business and the Law. https://wbl.worldbank.org/",Gender: Public life & decision making,,Annual,,"Women, Business and the Law tracks progress toward legal equality between men and women in 190 economies. Data are collected with standardized questionnaires to ensure comparability across economies. Questionnaires are administered to over 2,000 respondents with expertise in family, labor, and criminal law, including lawyers, judges, academics, and members of civil society organizations working on gender issues. Respondents provide responses to the questionnaires and references to relevant laws and regulations. The Women, Business and the Law team collects the texts of these codified sources of national law - constitutions, codes, laws, statutes, rules, regulations, and procedures - and checks questionnaire responses for accuracy. Thirty-five data points are scored across eight indicators of four or five binary questions, with each indicator representing a different phase of a woman’s career. Indicator-level scores are obtained by calculating the unweighted average of the questions within that indicator and scaling the result to 100. Overall scores are then calculated by taking the average of each indicator, with 100 representing the highest possible score.","The knowledge and analysis provided by Women, Business and the Law make a strong economic case for laws that empower women. Better performance in the areas measured by the Women, Business and the Law index is associated with more women in the labor force and with higher income and improved development outcomes. Equality before the law and of economic opportunity are not only wise social policy but also good economic policy. The equal participation of women and men will give every economy a chance to achieve its potential. Given the economic significance of women's empowerment, the ultimate goal of Women, Business and the Law is to encourage governments to reform laws that hold women back from working and doing business.","The Women, Business and the Law methodology has limitations that should be considered when interpreting the data. All eight indicators are based on standardized assumptions to ensure comparability across economies. Comparability is one of the strengths of the data, but the assumptions can also be limitations as they may not capture all restrictions or represent all particularities in a country. It is assumed that the woman resides in the economy's main business city, therefore regional variation is not captured. She has reached the legal age of majority and is capable of making decisions as an adult, is in good health and has no criminal record. She is a lawful citizen of the economy being examined, and she works as a cashier in the food retail sector in a supermarket or grocery store that has 60 employees.  She is in a monogamous first marriage registered with the appropriate authorities (de facto marriages and customary unions are not measured), she is of the same religion as her husband, and is in a marriage under the rules of the default marital property regime, or the most common regime for that jurisdiction, which will not change during the course of the marriage. Where personal law prescribes different rights and obligations for different groups of women, the data focus on the most populous group, which may mean that restrictions that apply only to minority populations are missed. Women, Business and the Law focuses solely on the ways in which the formal legal and regulatory environment determines whether women can work or open their own businesses. The data set is constructed using laws and regulations that are codified (de jure) and currently in force, therefore implementation of laws (de facto) is not measured. Finally, the data looks only at laws that apply to the private sector. These assumptions can limit the representativeness of the data for the entire population in each country.","For the reference period, WDI and Gender Databases take the data coverage years instead of reporting years used in WBL (https://wbl.worldbank.org/).  For example, the data for YR2020 in WBL (report year) corresponds to data for YR2019 in WDI and Gender Databases.","This indicator is additional to the 35 scored indicators, and associated to the following indicator "There is paid parental leave (1=yes; 0=no)" (SH.PAR.LEVE.AL).",https://datacatalog.worldbank.org/public-licenses#cc-by
